City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,detroit lakes,46.8172,-95.8453,13.03,54,100,6.17,US,1730243118
194,nenjiang,49.1833,125.2167,1.11,93,28,2.83,CN,1730243268
195,qobustan,40.0824,49.412,14.31,77,72,2.42,AZ,1730243270
196,hami,42.8,93.45,8.31,63,15,2.69,CN,1730243271
197,avarua,-21.2078,-159.775,25.03,69,40,8.75,CK,1730243272
198,riohacha,11.5444,-72.9072,32.06,58,20,4.63,CO,1730243059
199,namsos,64.4662,11.4957,5.95,75,75,6.69,NO,1730243274
200,aldama,22.9167,-98.0667,26.76,66,27,4.78,MX,1730243276
201,la passe,45.5549,-0.8967,14.51,90,1,4.52,FR,1730243277
202,amasra,41.7463,32.3863,12.93,85,21,2.58,TR,1730243279
203,ambalangoda,6.2355,80.0538,28.88,84,60,3.59,LK,1730243280
204,talnakh,69.4865,88.3972,-16.36,95,47,2.84,RU,1730243282
205,hirara,24.8,125.2833,27.15,94,100,8.75,JP,1730243283
206,nuku'alofa,-21.1333,-175.2,27.19,89,75,7.2,TO,1730243110
207,dien bien phu,21.3833,103.0167,18.11,100,33,1.01,VN,1730243285
208,saint-pierre,-21.3393,55.4781,23.82,83,75,8.23,RE,1730243287
209,nagqu,31.5,92.0,-1.44,35,71,1.37,CN,1730243288
210,georgetown,5.4112,100.3354,25.96,88,20,2.06,MY,1730243070
211,labin,45.095,14.1197,14.41,74,0,2.8,HR,1730243290
212,saldanha,-33.0117,17.9442,15.03,85,0,7.71,ZA,1730243190
213,san felipe,10.3399,-68.7425,23.64,92,91,0.43,VE,1730243293
214,sinop,41.7711,34.8709,9.18,91,50,1.55,TR,1730243294
215,nogliki,51.8333,143.1667,0.32,76,34,1.98,RU,1730243295
216,saipan,15.1355,145.701,30.39,70,40,7.72,MP,1730243296
217,yermentau,51.6214,73.1069,-0.93,91,88,2.55,KZ,1730243297
218,mili,6.0815,171.735,28.42,74,89,4.22,MH,1730243299
219,lagoa,39.05,-27.9833,18.96,79,19,5.91,PT,1730243300
220,cidreira,-30.1811,-50.2056,20.51,90,27,7.09,BR,1730243301
221,ust-tsilma,65.441,52.1498,0.97,98,100,2.01,RU,1730243302
222,jijiga,9.35,42.8,18.68,80,65,2.5,ET,1730243304
223,calvinia,-31.4707,19.776,14.57,64,0,1.78,ZA,1730243306
224,puerto deseado,-47.7503,-65.8938,20.92,35,71,8.01,AR,1730243308
225,nar'yan-mar,67.6713,53.087,0.82,86,100,5.4,RU,1730243306
226,ponta delgada,37.7333,-25.6667,18.44,88,75,2.57,PT,1730243310
227,parun,35.4207,70.9221,-0.65,76,0,1.92,AF,1730243311
228,ribeira grande,38.5167,-28.7,17.65,83,7,1.79,PT,1730243313
229,turtas,58.9417,69.1325,-1.99,92,59,2.09,RU,1730243314
230,peniche,39.3558,-9.3811,17.47,75,54,4.79,PT,1730243140
231,luderitz,-26.6481,15.1594,16.44,73,0,9.13,NA,1730243318
